selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 2
cur(0), end(2499), percent[0.0%], dist(1.25)
cur(1), end(2499), percent[0.04%], dist(1.55)
cur(2), end(2499), percent[0.08%], dist(1.46)
cur(3), end(2499), percent[0.12%], dist(1.48)
cur(4), end(2499), percent[0.16%], dist(1.5)
cur(5), end(2499), percent[0.2%], dist(1.46)
cur(6), end(2499), percent[0.24%], dist(1.51)
cur(7), end(2499), percent[0.28%], dist(1.49)
cur(8), end(2499), percent[0.32%], dist(1.49)
cur(9), end(2499), percent[0.36%], dist(1.51)
cur(10), end(2499), percent[0.4%], dist(1.5)
cur(11), end(2499), percent[0.44%], dist(1.52)
cur(12), end(2499), percent[0.48%], dist(1.5)
cur(13), end(2499), percent[0.52%], dist(1.51)
cur(14), end(2499), percent[0.56%], dist(1.51)
cur(15), end(2499), percent[0.6%], dist(1.5)
cur(16), end(2499), percent[0.64%], dist(1.52)
cur(17), end(2499), percent[0.68%], dist(1.51)
cur(18), end(2499), percent[0.72%], dist(1.51)
cur(19), end(2499), percent[0.76%], dist(1.52)
cur(20), end(2499), percent[0.8%], dist(1.51)
cur(21), end(2499), percent[0.84%], dist(1.52)
cur(22), end(2499), percent[0.88%], dist(1.51)
cur(23), end(2499), percent[0.92%], dist(1.51)
cur(24), end(2499), percent[0.96%], dist(1.52)
cur(25), end(2499), percent[1.0%], dist(1.51)
cur(26), end(2499), percent[1.04%], dist(1.52)
cur(27), end(2499), percent[1.08%], dist(1.51)
cur(28), end(2499), percent[1.12%], dist(1.51)
cur(29), end(2499), percent[1.16%], dist(1.52)
cur(30), end(2499), percent[1.2%], dist(1.51)
cur(31), end(2499), percent[1.24%], dist(1.52)
cur(32), end(2499), percent[1.28%], dist(1.51)
cur(33), end(2499), percent[1.32%], dist(1.51)
cur(34), end(2499), percent[1.36%], dist(1.51)
cur(35), end(2499), percent[1.4%], dist(1.5)
cur(36), end(2499), percent[1.44%], dist(1.51)
cur(37), end(2499), percent[1.48%], dist(1.5)
cur(38), end(2499), percent[1.52%], dist(1.5)
cur(39), end(2499), percent[1.56%], dist(1.5)
cur(40), end(2499), percent[1.6%], dist(1.5)
cur(41), end(2499), percent[1.64%], dist(1.5)
cur(42), end(2499), percent[1.68%], dist(1.5)
cur(43), end(2499), percent[1.72%], dist(1.5)
cur(44), end(2499), percent[1.76%], dist(1.51)
cur(45), end(2499), percent[1.8%], dist(1.5)
cur(46), end(2499), percent[1.84%], dist(1.51)
cur(47), end(2499), percent[1.88%], dist(1.51)
cur(48), end(2499), percent[1.92%], dist(1.51)
cur(49), end(2499), percent[1.96%], dist(1.51)
cur(50), end(2499), percent[2.0%], dist(1.5)
cur(51), end(2499), percent[2.04%], dist(1.51)
cur(52), end(2499), percent[2.08%], dist(1.5)
cur(53), end(2499), percent[2.12%], dist(1.5)
cur(54), end(2499), percent[2.16%], dist(1.51)
cur(55), end(2499), percent[2.2%], dist(1.5)
cur(56), end(2499), percent[2.24%], dist(1.51)
cur(57), end(2499), percent[2.28%], dist(1.5)
cur(58), end(2499), percent[2.32%], dist(1.51)
cur(59), end(2499), percent[2.36%], dist(1.51)
cur(60), end(2499), percent[2.4%], dist(1.51)
cur(61), end(2499), percent[2.44%], dist(1.51)
cur(62), end(2499), percent[2.48%], dist(1.51)
cur(63), end(2499), percent[2.52%], dist(1.51)
cur(64), end(2499), percent[2.56%], dist(1.51)
cur(65), end(2499), percent[2.6%], dist(1.5)
cur(66), end(2499), percent[2.64%], dist(1.51)
cur(67), end(2499), percent[2.68%], dist(1.51)
cur(68), end(2499), percent[2.72%], dist(1.51)
cur(69), end(2499), percent[2.76%], dist(1.51)
cur(70), end(2499), percent[2.8%], dist(1.5)
cur(71), end(2499), percent[2.84%], dist(1.51)
cur(72), end(2499), percent[2.88%], dist(1.5)
cur(73), end(2499), percent[2.92%], dist(1.51)
cur(74), end(2499), percent[2.96%], dist(1.51)
cur(75), end(2499), percent[3.0%], dist(1.5)
cur(76), end(2499), percent[3.04%], dist(1.51)
cur(77), end(2499), percent[3.08%], dist(1.5)
cur(78), end(2499), percent[3.12%], dist(1.51)
cur(79), end(2499), percent[3.16%], dist(1.51)
cur(80), end(2499), percent[3.2%], dist(1.5)
cur(81), end(2499), percent[3.24%], dist(1.51)
cur(82), end(2499), percent[3.28%], dist(1.5)
cur(83), end(2499), percent[3.32%], dist(1.5)
cur(84), end(2499), percent[3.36%], dist(1.51)
cur(85), end(2499), percent[3.4%], dist(1.5)
cur(86), end(2499), percent[3.44%], dist(1.51)
cur(87), end(2499), percent[3.48%], dist(1.5)
cur(88), end(2499), percent[3.52%], dist(1.5)
cur(89), end(2499), percent[3.56%], dist(1.51)
cur(90), end(2499), percent[3.6%], dist(1.5)
cur(91), end(2499), percent[3.64%], dist(1.51)
cur(92), end(2499), percent[3.68%], dist(1.51)
cur(93), end(2499), percent[3.72%], dist(1.51)
cur(94), end(2499), percent[3.76%], dist(1.51)
cur(95), end(2499), percent[3.8%], dist(1.51)
cur(96), end(2499), percent[3.84%], dist(1.51)
cur(97), end(2499), percent[3.88%], dist(1.51)
cur(98), end(2499), percent[3.92%], dist(1.51)
cur(99), end(2499), percent[3.96%], dist(1.51)
cur(100), end(2499), percent[4.0%], dist(1.51)
cur(101), end(2499), percent[4.04%], dist(1.51)
cur(102), end(2499), percent[4.08%], dist(1.51)
cur(103), end(2499), percent[4.12%], dist(1.51)
cur(104), end(2499), percent[4.16%], dist(1.51)
cur(105), end(2499), percent[4.2%], dist(1.51)
cur(106), end(2499), percent[4.24%], dist(1.51)
cur(107), end(2499), percent[4.28%], dist(1.51)
cur(108), end(2499), percent[4.32%], dist(1.51)
cur(109), end(2499), percent[4.36%], dist(1.51)
cur(110), end(2499), percent[4.4%], dist(1.51)
cur(111), end(2499), percent[4.44%], dist(1.51)
cur(112), end(2499), percent[4.48%], dist(1.51)
cur(113), end(2499), percent[4.52%], dist(1.51)
cur(114), end(2499), percent[4.56%], dist(1.51)
cur(115), end(2499), percent[4.6%], dist(1.51)
cur(116), end(2499), percent[4.64%], dist(1.51)
cur(117), end(2499), percent[4.68%], dist(1.51)
cur(118), end(2499), percent[4.72%], dist(1.51)
cur(119), end(2499), percent[4.76%], dist(1.51)
cur(120), end(2499), percent[4.8%], dist(1.51)
cur(121), end(2499), percent[4.84%], dist(1.51)
cur(122), end(2499), percent[4.88%], dist(1.51)
cur(123), end(2499), percent[4.92%], dist(1.51)
cur(124), end(2499), percent[4.96%], dist(1.51)
cur(125), end(2499), percent[5.0%], dist(1.51)
cur(126), end(2499), percent[5.04%], dist(1.51)
cur(127), end(2499), percent[5.08%], dist(1.51)
cur(128), end(2499), percent[5.12%], dist(1.51)
cur(129), end(2499), percent[5.16%], dist(1.51)
cur(130), end(2499), percent[5.2%], dist(1.51)
cur(131), end(2499), percent[5.24%], dist(1.51)
cur(132), end(2499), percent[5.28%], dist(1.51)
cur(133), end(2499), percent[5.32%], dist(1.51)
cur(134), end(2499), percent[5.36%], dist(1.51)
cur(135), end(2499), percent[5.4%], dist(1.51)
cur(136), end(2499), percent[5.44%], dist(1.51)
cur(137), end(2499), percent[5.48%], dist(1.51)
cur(138), end(2499), percent[5.52%], dist(1.51)
cur(139), end(2499), percent[5.56%], dist(1.51)
cur(140), end(2499), percent[5.6%], dist(1.51)
cur(141), end(2499), percent[5.64%], dist(1.51)
cur(142), end(2499), percent[5.68%], dist(1.51)
cur(143), end(2499), percent[5.72%], dist(1.51)
cur(144), end(2499), percent[5.76%], dist(1.51)
