selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 3
cur(0), end(2499), percent[0.0%], dist(1.2)
cur(1), end(2499), percent[0.04%], dist(1.48)
cur(2), end(2499), percent[0.08%], dist(1.41)
cur(3), end(2499), percent[0.12%], dist(1.44)
cur(4), end(2499), percent[0.16%], dist(1.46)
cur(5), end(2499), percent[0.2%], dist(1.42)
cur(6), end(2499), percent[0.24%], dist(1.48)
cur(7), end(2499), percent[0.28%], dist(1.45)
cur(8), end(2499), percent[0.32%], dist(1.46)
cur(9), end(2499), percent[0.36%], dist(1.47)
cur(10), end(2499), percent[0.4%], dist(1.45)
cur(11), end(2499), percent[0.44%], dist(1.48)
cur(12), end(2499), percent[0.48%], dist(1.47)
cur(13), end(2499), percent[0.52%], dist(1.48)
cur(14), end(2499), percent[0.56%], dist(1.48)
cur(15), end(2499), percent[0.6%], dist(1.46)
cur(16), end(2499), percent[0.64%], dist(1.48)
cur(17), end(2499), percent[0.68%], dist(1.46)
cur(18), end(2499), percent[0.72%], dist(1.47)
cur(19), end(2499), percent[0.76%], dist(1.47)
cur(20), end(2499), percent[0.8%], dist(1.46)
cur(21), end(2499), percent[0.84%], dist(1.48)
cur(22), end(2499), percent[0.88%], dist(1.47)
cur(23), end(2499), percent[0.92%], dist(1.47)
cur(24), end(2499), percent[0.96%], dist(1.47)
cur(25), end(2499), percent[1.0%], dist(1.47)
cur(26), end(2499), percent[1.04%], dist(1.48)
cur(27), end(2499), percent[1.08%], dist(1.47)
cur(28), end(2499), percent[1.12%], dist(1.48)
cur(29), end(2499), percent[1.16%], dist(1.48)
cur(30), end(2499), percent[1.2%], dist(1.47)
cur(31), end(2499), percent[1.24%], dist(1.48)
cur(32), end(2499), percent[1.28%], dist(1.47)
cur(33), end(2499), percent[1.32%], dist(1.47)
cur(34), end(2499), percent[1.36%], dist(1.48)
cur(35), end(2499), percent[1.4%], dist(1.47)
cur(36), end(2499), percent[1.44%], dist(1.48)
cur(37), end(2499), percent[1.48%], dist(1.47)
cur(38), end(2499), percent[1.52%], dist(1.47)
cur(39), end(2499), percent[1.56%], dist(1.48)
cur(40), end(2499), percent[1.6%], dist(1.47)
cur(41), end(2499), percent[1.64%], dist(1.47)
cur(42), end(2499), percent[1.68%], dist(1.47)
