selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8726725
cur(0), end(1722), percent[0.0%], dist(1.33)
cur(1), end(1722), percent[0.06%], dist(1.22)
cur(2), end(1722), percent[0.12%], dist(1.27)
cur(3), end(1722), percent[0.17%], dist(1.38)
cur(4), end(1722), percent[0.23%], dist(1.39)
cur(5), end(1722), percent[0.29%], dist(1.45)
cur(6), end(1722), percent[0.35%], dist(1.43)
cur(7), end(1722), percent[0.41%], dist(1.4)
cur(8), end(1722), percent[0.46%], dist(1.39)
cur(9), end(1722), percent[0.52%], dist(1.42)
cur(10), end(1722), percent[0.58%], dist(1.44)
cur(11), end(1722), percent[0.64%], dist(1.45)
cur(12), end(1722), percent[0.7%], dist(1.43)
cur(13), end(1722), percent[0.75%], dist(1.42)
cur(14), end(1722), percent[0.81%], dist(1.44)
cur(15), end(1722), percent[0.87%], dist(1.45)
cur(16), end(1722), percent[0.93%], dist(1.45)
cur(17), end(1722), percent[0.99%], dist(1.43)
cur(18), end(1722), percent[1.05%], dist(1.44)
cur(19), end(1722), percent[1.1%], dist(1.44)
cur(20), end(1722), percent[1.16%], dist(1.44)
cur(21), end(1722), percent[1.22%], dist(1.43)
cur(22), end(1722), percent[1.28%], dist(1.43)
cur(23), end(1722), percent[1.34%], dist(1.43)
cur(24), end(1722), percent[1.39%], dist(1.44)
cur(25), end(1722), percent[1.45%], dist(1.43)
cur(26), end(1722), percent[1.51%], dist(1.42)
cur(27), end(1722), percent[1.57%], dist(1.43)
cur(28), end(1722), percent[1.63%], dist(1.44)
cur(29), end(1722), percent[1.68%], dist(1.44)
cur(30), end(1722), percent[1.74%], dist(1.43)
cur(31), end(1722), percent[1.8%], dist(1.43)
cur(32), end(1722), percent[1.86%], dist(1.45)
cur(33), end(1722), percent[1.92%], dist(1.45)
cur(34), end(1722), percent[1.97%], dist(1.44)
cur(35), end(1722), percent[2.03%], dist(1.44)
cur(36), end(1722), percent[2.09%], dist(1.44)
cur(37), end(1722), percent[2.15%], dist(1.45)
cur(38), end(1722), percent[2.21%], dist(1.44)
cur(39), end(1722), percent[2.26%], dist(1.44)
cur(40), end(1722), percent[2.32%], dist(1.44)
cur(41), end(1722), percent[2.38%], dist(1.44)
cur(42), end(1722), percent[2.44%], dist(1.44)
cur(43), end(1722), percent[2.5%], dist(1.43)
cur(44), end(1722), percent[2.56%], dist(1.44)
cur(45), end(1722), percent[2.61%], dist(1.45)
cur(46), end(1722), percent[2.67%], dist(1.44)
cur(47), end(1722), percent[2.73%], dist(1.44)
cur(48), end(1722), percent[2.79%], dist(1.44)
cur(49), end(1722), percent[2.85%], dist(1.45)
cur(50), end(1722), percent[2.9%], dist(1.45)
cur(51), end(1722), percent[2.96%], dist(1.44)
cur(52), end(1722), percent[3.02%], dist(1.44)
cur(53), end(1722), percent[3.08%], dist(1.44)
cur(54), end(1722), percent[3.14%], dist(1.45)
cur(55), end(1722), percent[3.19%], dist(1.45)
cur(56), end(1722), percent[3.25%], dist(1.44)
cur(57), end(1722), percent[3.31%], dist(1.44)
cur(58), end(1722), percent[3.37%], dist(1.45)
cur(59), end(1722), percent[3.43%], dist(1.45)
cur(60), end(1722), percent[3.48%], dist(1.45)
cur(61), end(1722), percent[3.54%], dist(1.44)
cur(62), end(1722), percent[3.6%], dist(1.44)
cur(63), end(1722), percent[3.66%], dist(1.45)
cur(64), end(1722), percent[3.72%], dist(1.45)
cur(65), end(1722), percent[3.77%], dist(1.44)
cur(66), end(1722), percent[3.83%], dist(1.44)
cur(67), end(1722), percent[3.89%], dist(1.44)
cur(68), end(1722), percent[3.95%], dist(1.45)
cur(69), end(1722), percent[4.01%], dist(1.44)
cur(70), end(1722), percent[4.07%], dist(1.44)
cur(71), end(1722), percent[4.12%], dist(1.44)
cur(72), end(1722), percent[4.18%], dist(1.44)
cur(73), end(1722), percent[4.24%], dist(1.44)
cur(74), end(1722), percent[4.3%], dist(1.44)
cur(75), end(1722), percent[4.36%], dist(1.44)
cur(76), end(1722), percent[4.41%], dist(1.44)
cur(77), end(1722), percent[4.47%], dist(1.44)
cur(78), end(1722), percent[4.53%], dist(1.44)
cur(79), end(1722), percent[4.59%], dist(1.44)
cur(80), end(1722), percent[4.65%], dist(1.44)
cur(81), end(1722), percent[4.7%], dist(1.44)
cur(82), end(1722), percent[4.76%], dist(1.43)
cur(83), end(1722), percent[4.82%], dist(1.43)
cur(84), end(1722), percent[4.88%], dist(1.43)
cur(85), end(1722), percent[4.94%], dist(1.44)
cur(86), end(1722), percent[4.99%], dist(1.43)
cur(87), end(1722), percent[5.05%], dist(1.43)
cur(88), end(1722), percent[5.11%], dist(1.43)
cur(89), end(1722), percent[5.17%], dist(1.44)
cur(90), end(1722), percent[5.23%], dist(1.44)
cur(91), end(1722), percent[5.28%], dist(1.43)
cur(92), end(1722), percent[5.34%], dist(1.43)
cur(93), end(1722), percent[5.4%], dist(1.43)
cur(94), end(1722), percent[5.46%], dist(1.44)
cur(95), end(1722), percent[5.52%], dist(1.43)
cur(96), end(1722), percent[5.57%], dist(1.43)
cur(97), end(1722), percent[5.63%], dist(1.43)
cur(98), end(1722), percent[5.69%], dist(1.43)
cur(99), end(1722), percent[5.75%], dist(1.43)
cur(100), end(1722), percent[5.81%], dist(1.43)
cur(101), end(1722), percent[5.87%], dist(1.43)
cur(102), end(1722), percent[5.92%], dist(1.43)
cur(103), end(1722), percent[5.98%], dist(1.43)
cur(104), end(1722), percent[6.04%], dist(1.43)
cur(105), end(1722), percent[6.1%], dist(1.43)
cur(106), end(1722), percent[6.16%], dist(1.43)
cur(107), end(1722), percent[6.21%], dist(1.44)
cur(108), end(1722), percent[6.27%], dist(1.44)
cur(109), end(1722), percent[6.33%], dist(1.43)
cur(110), end(1722), percent[6.39%], dist(1.43)
cur(111), end(1722), percent[6.45%], dist(1.43)
cur(112), end(1722), percent[6.5%], dist(1.44)
cur(113), end(1722), percent[6.56%], dist(1.43)
cur(114), end(1722), percent[6.62%], dist(1.43)
cur(115), end(1722), percent[6.68%], dist(1.43)
cur(116), end(1722), percent[6.74%], dist(1.43)
cur(117), end(1722), percent[6.79%], dist(1.43)
cur(118), end(1722), percent[6.85%], dist(1.43)
cur(119), end(1722), percent[6.91%], dist(1.43)
cur(120), end(1722), percent[6.97%], dist(1.43)
cur(121), end(1722), percent[7.03%], dist(1.43)
cur(122), end(1722), percent[7.08%], dist(1.43)
cur(123), end(1722), percent[7.14%], dist(1.43)
